日付タイプ,model,延べ台日,平均差枚,勝率%
ゾロ目/0,パチスロ　甲鉄城のカバネリ,61,397.9,59.0
ゾロ目/0,Lストライクウィッチーズ2,14,1091.0,57.1
ゾロ目/0,パチスロ　マクロスデルタ,62,255.8,56.5
ゾロ目/0,Lスマスロ転生したらスライムだった件,24,104.9,54.2
ゾロ目/0,Lパチスロ喰霊-零-Re,15,-380.3,53.3
ゾロ目/0,A-SLOT+異世界かるてっとBT,100,374.2,52.0
ゾロ目/0,パチスロ　戦姫絶唱シンフォギア　勇気の歌,62,280.5,51.6
ゾロ目/0,バーニングエクスプレス,10,940.0,50.0
ゾロ目/0,A-SLOT+ ディスクアップ ULTRAREMIX,65,94.8,49.2
ゾロ目/0,ゴーゴージャグラー３,186,252.7,48.9
ゾロ目/0,Lパチスロうみねこのなく頃に2,177,12.9,48.6
ゾロ目/0,パチスロ戦国恋姫,125,139.4,48.0
ゾロ目/0,ジャグラーガールズSS,124,295.2,47.6
ゾロ目/0,Lソードアート・オンライン,434,279.1,45.9
ゾロ目/0,スマスロ 甲鉄城のカバネリ 海門決戦,655,286.8,45.5
ゾロ目/0,この素晴らしい世界に祝福を！,155,78.8,45.2
ゾロ目/0,真打 吉宗,250,207.9,45.2
ゾロ目/0,スマスロ とある魔術の禁書目録2,100,-359.6,45.0
ゾロ目/0,パチスロひぐらしのなく頃に祭２,49,24.4,44.9
ゾロ目/0,Lスマスロとある魔術の禁書目録,124,620.8,44.4
ゾロ目/0,Lパチスロガールズ＆パンツァー 最終章,171,416.9,44.4
ゾロ目/0,L東京喰種,827,245.6,44.0
ゾロ目/0,Lバンドリ！,287,487.9,43.9
ゾロ目/0,マイジャグラーV,797,56.2,43.8
ゾロ目/0,スマスロ ギルティクラウン2,16,168.4,43.8
ゾロ目/0,スマスロ鉄拳6,55,229.8,43.6
ゾロ目/0,スロット ソードアート・オンラインⅡ,296,-409.0,43.6
ゾロ目/0,ハッピージャグラーＶＩＩＩ,62,103.2,43.5
ゾロ目/0,スマスロ サンダーV,60,322.3,43.3
ゾロ目/0,スマスロ とんでもスキルで異世界放浪メシ,30,-679.4,43.3
ゾロ目/0,スマスロ モンスターハンターライズ,63,698.4,42.9
ゾロ目/0,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,145,230.4,42.8
ゾロ目/0,L戦国乙女5 業火を穿つ宿焔の双刃,466,-78.0,42.5
ゾロ目/0,回胴式遊技機グランベルム,217,168.7,42.4
